timestamp,open,high,low,close,volume,rsi_15,rsi_30,rsi_60
2025-09-11 09:15:00+05:30,1376.0,1383.0,1375.0,1380.7,696965,54.452899800569064,54.042403495633394,49.4750070915406
2025-09-11 09:30:00+05:30,1380.7,1382.0,1379.4,1381.4,192514,56.26765948851036,54.042403495633394,49.4750070915406
2025-09-11 09:45:00+05:30,1381.3,1382.5,1380.9,1381.8,138381,57.30906350345889,53.69079417812795,49.4750070915406
2025-09-11 10:00:00+05:30,1381.9,1383.0,1380.0,1381.0,171508,54.52666895885636,53.69079417812795,49.4750070915406
2025-09-11 10:15:00+05:30,1381.0,1382.4,1380.8,1382.2,113349,57.818038564058305,55.19848295078289,50.3246301969113
2025-09-11 10:30:00+05:30,1382.1,1383.8,1381.9,1383.0,250586,59.89164667109823,55.19848295078289,50.3246301969113
2025-09-11 10:45:00+05:30,1382.9,1384.6,1382.0,1383.5,247908,61.16988498079498,56.230384805275825,50.3246301969113
2025-09-11 11:00:00+05:30,1383.5,1385.3,1383.2,1384.4,276053,63.418300643944185,56.230384805275825,50.3246301969113
2025-09-11 11:15:00+05:30,1384.3,1385.0,1382.8,1383.9,206081,61.30531394059305,54.830619245657495,49.848260655810925
2025-09-11 11:30:00+05:30,1383.9,1384.8,1382.4,1382.9,344714,57.220019314628466,54.830619245657495,49.848260655810925
2025-09-11 11:45:00+05:30,1382.9,1383.1,1382.0,1382.6,93083,56.02009573764437,54.45665746569714,49.848260655810925
2025-09-11 12:00:00+05:30,1382.3,1383.2,1382.2,1382.5,75003,55.60365720017288,54.45665746569714,49.848260655810925
2025-09-11 12:15:00+05:30,1382.7,1384.9,1380.9,1383.6,347301,59.17997603372301,56.157957054189524,50.25154246536814
2025-09-11 12:30:00+05:30,1383.4,1385.5,1382.3,1384.7,269255,62.42316638208615,56.157957054189524,50.25154246536814
2025-09-11 12:45:00+05:30,1384.4,1384.7,1382.7,1383.1,286956,55.54553551906182,55.572269687158396,50.25154246536814
2025-09-11 13:00:00+05:30,1383.1,1384.4,1382.6,1384.1,89427,58.60001028949747,55.572269687158396,50.25154246536814
2025-09-11 13:15:00+05:30,1384.0,1384.9,1382.9,1384.8,232889,60.62890680612412,55.472521624185745,49.294169757932174
2025-09-11 13:30:00+05:30,1384.3,1385.0,1382.7,1384.0,210434,57.19660786213567,55.472521624185745,49.294169757932174
2025-09-11 13:45:00+05:30,1383.9,1384.7,1381.3,1382.4,856582,51.00871264276377,51.906430154986616,49.294169757932174
2025-09-11 14:00:00+05:30,1382.4,1382.4,1380.1,1380.3,120116,44.27312635148335,51.906430154986616,49.294169757932174
2025-09-11 14:15:00+05:30,1380.4,1382.7,1379.2,1381.4,543832,48.11801889250015,52.83885350899913,49.95754497577754
2025-09-11 14:30:00+05:30,1381.1,1382.2,1378.6,1381.4,610632,48.11801889250015,52.83885350899913,49.95754497577754
2025-09-11 14:45:00+05:30,1381.4,1385.2,1380.4,1384.2,1189082,56.82293245697327,54.09434605074427,49.95754497577754
2025-09-11 15:00:00+05:30,1384.3,1384.8,1381.7,1382.9,1500201,52.4456373766473,54.09434605074427,49.95754497577754
2025-09-11 15:15:00+05:30,1382.9,1384.5,1381.9,1382.1,700328,49.91059742599498,53.31132889768943,49.75386700297578
2025-09-12 09:15:00+05:30,1383.3,1388.2,1380.5,1386.3,673547,60.61822492426082,60.042537913074334,51.99309563772844
2025-09-12 09:30:00+05:30,1386.4,1391.5,1386.1,1391.1,427727,68.78820979004787,60.042537913074334,51.99309563772844
2025-09-12 09:45:00+05:30,1391.1,1393.0,1390.5,1391.4,400293,69.21586732414033,60.042537913074334,51.99309563772844
2025-09-12 10:00:00+05:30,1391.4,1393.0,1390.3,1391.1,173648,68.21444556119827,60.042537913074334,51.99309563772844
2025-09-12 10:15:00+05:30,1391.0,1391.9,1390.0,1390.0,147892,64.54573408504226,60.64966073471468,52.68406367999806
2025-09-12 10:30:00+05:30,1390.0,1392.0,1389.3,1392.0,117389,67.90801726783528,60.64966073471468,52.68406367999806
2025-09-12 10:45:00+05:30,1391.7,1394.0,1391.3,1392.0,291346,67.90801726783528,61.9777498578288,52.68406367999806
2025-09-12 11:00:00+05:30,1392.1,1396.0,1390.2,1394.0,562720,71.05873663673928,61.9777498578288,52.68406367999806
2025-09-12 11:15:00+05:30,1394.0,1396.3,1393.4,1396.0,363030,73.81332526445274,62.630119449816945,52.498581960673725
2025-09-12 11:30:00+05:30,1396.0,1396.0,1393.7,1395.0,203640,70.23228431902733,62.630119449816945,52.498581960673725
2025-09-12 11:45:00+05:30,1395.0,1395.1,1393.4,1393.9,173726,66.43372403788871,60.79569061042114,52.498581960673725
2025-09-12 12:00:00+05:30,1393.9,1394.0,1393.1,1393.3,105916,64.39819313781817,60.79569061042114,52.498581960673725
2025-09-12 12:15:00+05:30,1393.3,1395.9,1392.9,1394.8,231016,67.09847076123829,60.47234273382109,52.072443253791576
2025-09-12 12:30:00+05:30,1394.8,1394.8,1392.7,1393.0,178997,61.13660534918975,60.47234273382109,52.072443253791576
2025-09-12 12:45:00+05:30,1392.9,1394.6,1392.0,1393.2,201126,61.54338694136695,59.064135967644994,52.072443253791576
2025-09-12 13:00:00+05:30,1393.2,1393.3,1391.0,1391.7,184059,56.76860778472738,59.064135967644994,52.072443253791576
2025-09-12 13:15:00+05:30,1391.6,1392.5,1391.2,1391.5,182789,56.14631450618522,59.1398522827266,52.92253111797607
2025-09-12 13:30:00+05:30,1391.5,1392.3,1391.0,1391.8,252446,56.905526272983664,59.1398522827266,52.92253111797607
2025-09-12 13:45:00+05:30,1391.8,1393.6,1391.0,1393.6,171942,61.22135263095862,61.63568314895174,52.92253111797607
2025-09-12 14:00:00+05:30,1393.6,1395.3,1393.5,1395.2,291821,64.59796572841282,61.63568314895174,52.92253111797607
2025-09-12 14:15:00+05:30,1395.2,1395.5,1394.6,1395.4,190986,65.00605463585225,60.511092284436586,52.92253111797607
2025-09-12 14:30:00+05:30,1395.2,1395.4,1393.3,1394.2,422489,60.52119802887462,60.511092284436586,52.92253111797607
2025-09-12 14:45:00+05:30,1394.1,1395.1,1393.6,1394.5,234034,61.23752205448125,61.242635243022036,52.92253111797607
