timestamp,open,high,low,close,volume,dma_10,dma_20,dma_50
2025-09-11 09:15:00+05:30,1376.0,1383.0,1375.0,1380.7,696965,1378.49,1380.135,1377.9560000000001
2025-09-11 09:30:00+05:30,1380.7,1382.0,1379.4,1381.4,192514,1378.55,1380.1200000000001,1377.9920000000002
2025-09-11 09:45:00+05:30,1381.3,1382.5,1380.9,1381.8,138381,1378.6200000000001,1380.11,1378.1
2025-09-11 10:00:00+05:30,1381.9,1383.0,1380.0,1381.0,171508,1378.78,1380.135,1378.1919999999998
2025-09-11 10:15:00+05:30,1381.0,1382.4,1380.8,1382.2,113349,1378.86,1380.1,1378.336
2025-09-11 10:30:00+05:30,1382.1,1383.8,1381.9,1383.0,250586,1379.0700000000002,1380.08,1378.5059999999999
2025-09-11 10:45:00+05:30,1382.9,1384.6,1382.0,1383.5,247908,1379.67,1380.105,1378.7359999999999
2025-09-11 11:00:00+05:30,1383.5,1385.3,1383.2,1384.4,276053,1380.46,1380.15,1378.964
2025-09-11 11:15:00+05:30,1384.3,1385.0,1382.8,1383.9,206081,1381.22,1380.285,1379.178
2025-09-11 11:30:00+05:30,1383.9,1384.8,1382.4,1382.9,344714,1381.94,1380.44,1379.396
2025-09-11 11:45:00+05:30,1382.9,1383.1,1382.0,1382.6,93083,1382.48,1380.4850000000001,1379.5780000000002
2025-09-11 12:00:00+05:30,1382.3,1383.2,1382.2,1382.5,75003,1382.6699999999998,1380.6100000000001,1379.7779999999998
2025-09-11 12:15:00+05:30,1382.7,1384.9,1380.9,1383.6,347301,1382.78,1380.7,1379.9719999999998
2025-09-11 12:30:00+05:30,1383.4,1385.5,1382.3,1384.7,269255,1382.96,1380.8700000000001,1380.2
2025-09-11 12:45:00+05:30,1384.4,1384.7,1382.7,1383.1,286956,1383.3300000000002,1381.095,1380.444
2025-09-11 13:00:00+05:30,1383.1,1384.4,1382.6,1384.1,89427,1383.42,1381.245,1380.5680000000002
2025-09-11 13:15:00+05:30,1384.0,1384.9,1382.9,1384.8,232889,1383.53,1381.6,1380.7
2025-09-11 13:30:00+05:30,1384.3,1385.0,1382.7,1384.0,210434,1383.66,1382.06,1380.852
2025-09-11 13:45:00+05:30,1383.9,1384.7,1381.3,1382.4,856582,1383.6200000000001,1382.42,1380.9720000000002
2025-09-11 14:00:00+05:30,1382.4,1382.4,1380.1,1380.3,120116,1383.47,1382.705,1381.07
2025-09-11 14:15:00+05:30,1380.4,1382.7,1379.2,1381.4,543832,1383.2099999999998,1382.845,1381.126
2025-09-11 14:30:00+05:30,1381.1,1382.2,1378.6,1381.4,610632,1383.0900000000001,1382.8799999999999,1381.23
2025-09-11 14:45:00+05:30,1381.4,1385.2,1380.4,1384.2,1189082,1382.98,1382.88,1381.358
2025-09-11 15:00:00+05:30,1384.3,1384.8,1381.7,1382.9,1500201,1383.04,1383.0,1381.54
2025-09-11 15:15:00+05:30,1382.9,1384.5,1381.9,1382.1,700328,1382.8600000000001,1383.0949999999998,1381.67
2025-09-12 09:15:00+05:30,1383.3,1388.2,1380.5,1386.3,673547,1382.7599999999998,1383.0900000000001,1381.79
2025-09-12 09:30:00+05:30,1386.4,1391.5,1386.1,1391.1,427727,1382.98,1383.255,1381.888
2025-09-12 09:45:00+05:30,1391.1,1393.0,1390.5,1391.4,400293,1383.61,1383.635,1381.958
2025-09-12 10:00:00+05:30,1391.4,1393.0,1390.3,1391.1,173648,1384.35,1383.9850000000001,1382.114
2025-09-12 10:15:00+05:30,1391.0,1391.9,1390.0,1390.0,147892,1385.22,1384.3449999999998,1382.27
2025-09-12 10:30:00+05:30,1390.0,1392.0,1389.3,1392.0,117389,1386.19,1384.7,1382.43
2025-09-12 10:45:00+05:30,1391.7,1394.0,1391.3,1392.0,291346,1387.25,1385.1699999999998,1382.65
2025-09-12 11:00:00+05:30,1392.1,1396.0,1390.2,1394.0,562720,1388.31,1385.645,1382.8580000000002
2025-09-12 11:15:00+05:30,1394.0,1396.3,1393.4,1396.0,363030,1389.2900000000002,1386.165,1383.112
2025-09-12 11:30:00+05:30,1396.0,1396.0,1393.7,1395.0,203640,1390.6,1386.73,1383.3980000000001
2025-09-12 11:45:00+05:30,1395.0,1395.1,1393.4,1393.9,173726,1391.89,1387.325,1383.646
2025-09-12 12:00:00+05:30,1393.9,1394.0,1393.1,1393.3,105916,1392.65,1387.815,1383.874
2025-09-12 12:15:00+05:30,1393.3,1395.9,1392.9,1394.8,231016,1392.8700000000001,1388.24,1384.0880000000002
2025-09-12 12:30:00+05:30,1394.8,1394.8,1392.7,1393.0,178997,1393.2099999999998,1388.78,1384.35
2025-09-12 12:45:00+05:30,1392.9,1394.6,1392.0,1393.2,201126,1393.4,1389.31,1384.5940000000003
2025-09-12 13:00:00+05:30,1393.2,1393.3,1391.0,1391.7,184059,1393.72,1389.955,1384.8180000000002
2025-09-12 13:15:00+05:30,1391.6,1392.5,1391.2,1391.5,182789,1393.69,1390.47,1385.05
2025-09-12 13:30:00+05:30,1391.5,1392.3,1391.0,1391.8,252446,1393.64,1390.975,1385.266
2025-09-12 13:45:00+05:30,1391.8,1393.6,1391.0,1393.6,171942,1393.42,1391.355,1385.4980000000003
2025-09-12 14:00:00+05:30,1393.6,1395.3,1393.5,1395.2,291821,1393.18,1391.8899999999999,1385.7659999999998
2025-09-12 14:15:00+05:30,1395.2,1395.5,1394.6,1395.4,190986,1393.2,1392.5449999999998,1386.0680000000002
2025-09-12 14:30:00+05:30,1395.2,1395.4,1393.3,1394.2,422489,1393.35,1393.0,1386.4360000000001
2025-09-12 14:45:00+05:30,1394.1,1395.1,1393.6,1394.5,234034,1393.44,1393.1550000000002,1386.808
2025-09-12 15:00:00+05:30,1394.5,1395.9,1394.4,1395.2,658596,1393.4099999999999,1393.31,1387.1619999999998
2025-09-12 15:15:00+05:30,1395.4,1395.9,1394.0,1395.0,560897,1393.6299999999999,1393.515,1387.532
