timestamp,open,high,low,close,volume,ema_9,ema_15
2025-09-11 09:15:00+05:30,1376.0,1383.0,1375.0,1380.7,696965,1378.6215293210555,1379.0519612917608
2025-09-11 09:30:00+05:30,1380.7,1382.0,1379.4,1381.4,192514,1379.1772234568443,1379.3454661302906
2025-09-11 09:45:00+05:30,1381.3,1382.5,1380.9,1381.8,138381,1379.7017787654754,1379.652282864004
2025-09-11 10:00:00+05:30,1381.9,1383.0,1380.0,1381.0,171508,1379.9614230123805,1379.8207475060035
2025-09-11 10:15:00+05:30,1381.0,1382.4,1380.8,1382.2,113349,1380.4091384099045,1380.118154067753
2025-09-11 10:30:00+05:30,1382.1,1383.8,1381.9,1383.0,250586,1380.9273107279237,1380.4783848092839
2025-09-11 10:45:00+05:30,1382.9,1384.6,1382.0,1383.5,247908,1381.441848582339,1380.8560867081233
2025-09-11 11:00:00+05:30,1383.5,1385.3,1383.2,1384.4,276053,1382.0334788658713,1381.2990758696078
2025-09-11 11:15:00+05:30,1384.3,1385.0,1382.8,1383.9,206081,1382.406783092697,1381.624191385907
2025-09-11 11:30:00+05:30,1383.9,1384.8,1382.4,1382.9,344714,1382.5054264741575,1381.7836674626685
2025-09-11 11:45:00+05:30,1382.9,1383.1,1382.0,1382.6,93083,1382.524341179326,1381.885709029835
2025-09-11 12:00:00+05:30,1382.3,1383.2,1382.2,1382.5,75003,1382.5194729434609,1381.9624954011056
2025-09-11 12:15:00+05:30,1382.7,1384.9,1380.9,1383.6,347301,1382.7355783547687,1382.1671834759675
2025-09-11 12:30:00+05:30,1383.4,1385.5,1382.3,1384.7,269255,1383.128462683815,1382.4837855414717
2025-09-11 12:45:00+05:30,1384.4,1384.7,1382.7,1383.1,286956,1383.122770147052,1382.5608123487877
2025-09-11 13:00:00+05:30,1383.1,1384.4,1382.6,1384.1,89427,1383.3182161176417,1382.7532108051894
2025-09-11 13:15:00+05:30,1384.0,1384.9,1382.9,1384.8,232889,1383.6145728941135,1383.0090594545406
2025-09-11 13:30:00+05:30,1384.3,1385.0,1382.7,1384.0,210434,1383.6916583152909,1383.1329270227232
2025-09-11 13:45:00+05:30,1383.9,1384.7,1381.3,1382.4,856582,1383.4333266522328,1383.0413111448827
2025-09-11 14:00:00+05:30,1382.4,1382.4,1380.1,1380.3,120116,1382.8066613217864,1382.6986472517722
2025-09-11 14:15:00+05:30,1380.4,1382.7,1379.2,1381.4,543832,1382.5253290574292,1382.5363163453005
2025-09-11 14:30:00+05:30,1381.1,1382.2,1378.6,1381.4,610632,1382.3002632459434,1382.394276802138
2025-09-11 14:45:00+05:30,1381.4,1385.2,1380.4,1384.2,1189082,1382.680210596755,1382.619992201871
2025-09-11 15:00:00+05:30,1384.3,1384.8,1381.7,1382.9,1500201,1382.724168477404,1382.654993176637
2025-09-11 15:15:00+05:30,1382.9,1384.5,1381.9,1382.1,700328,1382.5993347819233,1382.5856190295574
2025-09-12 09:15:00+05:30,1383.3,1388.2,1380.5,1386.3,673547,1383.3394678255386,1383.0499166508625
2025-09-12 09:30:00+05:30,1386.4,1391.5,1386.1,1391.1,427727,1384.8915742604308,1384.0561770695047
2025-09-12 09:45:00+05:30,1391.1,1393.0,1390.5,1391.4,400293,1386.1932594083446,1384.9741549358166
2025-09-12 10:00:00+05:30,1391.4,1393.0,1390.3,1391.1,173648,1387.1746075266758,1385.7398855688396
2025-09-12 10:15:00+05:30,1391.0,1391.9,1390.0,1390.0,147892,1387.7396860213407,1386.2723998727347
2025-09-12 10:30:00+05:30,1390.0,1392.0,1389.3,1392.0,117389,1388.5917488170728,1386.988349888643
2025-09-12 10:45:00+05:30,1391.7,1394.0,1391.3,1392.0,291346,1389.2733990536583,1387.6148061525626
2025-09-12 11:00:00+05:30,1392.1,1396.0,1390.2,1394.0,562720,1390.2187192429267,1388.4129553834923
2025-09-12 11:15:00+05:30,1394.0,1396.3,1393.4,1396.0,363030,1391.3749753943414,1389.3613359605558
2025-09-12 11:30:00+05:30,1396.0,1396.0,1393.7,1395.0,203640,1392.0999803154732,1390.0661689654864
2025-09-12 11:45:00+05:30,1395.0,1395.1,1393.4,1393.9,173726,1392.4599842523785,1390.5453978448006
2025-09-12 12:00:00+05:30,1393.9,1394.0,1393.1,1393.3,105916,1392.6279874019028,1390.8897231142005
2025-09-12 12:15:00+05:30,1393.3,1395.9,1392.9,1394.8,231016,1393.0623899215223,1391.3785077249254
2025-09-12 12:30:00+05:30,1394.8,1394.8,1392.7,1393.0,178997,1393.049911937218,1391.5811942593098
2025-09-12 12:45:00+05:30,1392.9,1394.6,1392.0,1393.2,201126,1393.0799295497745,1391.783544976896
2025-09-12 13:00:00+05:30,1393.2,1393.3,1391.0,1391.7,184059,1392.8039436398199,1391.7731018547843
2025-09-12 13:15:00+05:30,1391.6,1392.5,1391.2,1391.5,182789,1392.543154911856,1391.7389641229363
2025-09-12 13:30:00+05:30,1391.5,1392.3,1391.0,1391.8,252446,1392.3945239294849,1391.7465936075691
2025-09-12 13:45:00+05:30,1391.8,1393.6,1391.0,1393.6,171942,1392.635619143588,1391.978269406623
2025-09-12 14:00:00+05:30,1393.6,1395.3,1393.5,1395.2,291821,1393.1484953148704,1392.3809857307951
2025-09-12 14:15:00+05:30,1395.2,1395.5,1394.6,1395.4,190986,1393.5987962518966,1392.7583625144457
2025-09-12 14:30:00+05:30,1395.2,1395.4,1393.3,1394.2,422489,1393.7190370015173,1392.9385672001401
2025-09-12 14:45:00+05:30,1394.1,1395.1,1393.6,1394.5,234034,1393.875229601214,1393.1337463001225
2025-09-12 15:00:00+05:30,1394.5,1395.9,1394.4,1395.2,658596,1394.1401836809712,1393.3920280126074
2025-09-12 15:15:00+05:30,1395.4,1395.9,1394.0,1395.0,560897,1394.312146944777,1393.5930245110314
